id,name,sex,age,height,weight,year,season,sport,event,medal,country
99516,Jennie Idell Reed (-Madden),F,34,170,77,2012,Summer,Cycling,Cycling Women's Team Pursuit,Silver,USA
99523,"Peter ""Pete"" Reed",M,27,197,100,2008,Summer,Rowing,Rowing Men's Coxless Fours,Gold,UK
99523,"Peter ""Pete"" Reed",M,30,197,100,2012,Summer,Rowing,Rowing Men's Coxless Fours,Gold,UK
99523,"Peter ""Pete"" Reed",M,35,197,100,2016,Summer,Rowing,Rowing Men's Coxed Eights,Gold,UK
99538,Brittney Davon Reese,F,25,173,61,2012,Summer,Athletics,Athletics Women's Long Jump,Gold,USA
99538,Brittney Davon Reese,F,29,173,61,2016,Summer,Athletics,Athletics Women's Long Jump,Silver,USA
99540,Shayne Leanne Reese,F,25,168,62,2008,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,Australia
99540,Shayne Leanne Reese,F,25,168,62,2008,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,Australia
99551,Helen Reeves,F,23,173,56,2004,Summer,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze,UK
99568,Emily Regan,F,28,188,81,2016,Summer,Rowing,Rowing Women's Coxed Eights,Gold,USA
99634,Jan ehula,M,26,176,65,2000,Summer,Triathlon,Triathlon Men's Olympic Distance,Bronze,Czech Republic
99641,Christian Reich,M,34,178,93,2002,Winter,Bobsleigh,Bobsleigh Men's Two,Silver,Switzerland
99679,Tobias Reichmann,M,28,188,87,2016,Summer,Handball,Handball Men's Handball,Bronze,Germany
99757,Daniela Reimer,F,21,170,59,2004,Summer,Rowing,Rowing Women's Lightweight Double Sculls,Silver,Germany
99780,Maximilian Reinelt,M,23,195,98,2012,Summer,Rowing,Rowing Men's Coxed Eights,Gold,Germany
99780,Maximilian Reinelt,M,27,195,98,2016,Summer,Rowing,Rowing Men's Coxed Eights,Silver,Germany
